iter,http_code,curl_time_ms,status,elapsed_ms,threads_ok,threads_signal_blocked,threads_timeout
"1","200","41","ok",32,1867,4,0
"2","200","43","ok",33,1867,4,0
"3","200","44","ok",34,1867,4,0
"4","200","40","ok",31,1867,4,0
"5","200","39","ok",31,1867,4,0
"6","200","38","ok",30,1865,4,0
"7","200","37","ok",29,1865,4,0
"8","200","37","ok",29,1865,4,0
"9","200","37","ok",29,1865,4,0
"10","200","40","ok",30,1865,4,0
