impl,workload,thread_count,copy_bytes,iter,e2e_ns,pause_p50_ns,pause_p99_ns,dispatch_p50_ns,dispatch_p99_ns,ok_count,truncated_count,timed_out_count,unregistered_count,error_count
kill60,idle,4,8192,69,246352,7033,7534,3988,4539,4,0,0,0,0
kill60,idle,4,8192,70,249828,7284,7304,4027,4068,4,0,0,0,0
kill60,idle,4,8192,71,246591,7915,8466,4699,4819,4,0,0,0,0
kill60,idle,4,8192,72,245971,6682,6993,4007,4058,4,0,0,0,0
kill60,idle,4,8192,73,250279,6171,8666,3917,4138,4,0,0,0,0
kill60,idle,4,8192,74,250338,5781,9037,4028,4128,4,0,0,0,0
kill60,idle,4,8192,75,246652,6381,6472,4539,4549,4,0,0,0,0
kill60,idle,4,8192,76,246462,6923,8095,3857,4058,4,0,0,0,0
kill60,idle,4,8192,77,250319,7625,8105,3858,3968,4,0,0,0,0
kill60,idle,4,8192,78,248275,5200,6653,3897,4018,4,0,0,0,0
kill60,idle,4,8192,79,246421,5951,7894,4539,4749,4,0,0,0,0
kill60,idle,4,8192,80,246051,6402,6703,3887,4017,4,0,0,0,0
kill60,idle,4,8192,81,246091,5771,7204,3917,4138,4,0,0,0,0
kill60,idle,4,8192,82,251230,6632,7073,3878,3928,4,0,0,0,0
kill60,idle,4,8192,83,246682,8506,8787,4518,4568,4,0,0,0,0
kill60,idle,4,8192,84,246061,6021,7575,3927,4258,4,0,0,0,0
kill60,idle,4,8192,85,245640,6893,7904,3868,3948,4,0,0,0,0
kill60,idle,4,8192,86,249628,6281,7184,3978,4097,4,0,0,0,0
kill60,idle,4,8192,87,246702,6001,7164,4579,4779,4,0,0,0,0
kill60,idle,4,8192,88,246231,7665,8155,4278,4378,4,0,0,0,0
kill60,idle,4,8192,89,245810,6873,8496,4218,4258,4,0,0,0,0
kill60,idle,4,8192,90,248405,6813,7304,3957,3987,4,0,0,0,0
kill60,idle,4,8192,91,246953,7334,7524,4869,5360,4,0,0,0,0
kill60,idle,4,8192,92,245520,5761,6633,4358,4358,4,0,0,0,0
kill60,idle,4,8192,93,246451,7433,7955,4268,4479,4,0,0,0,0
kill60,idle,4,8192,94,249948,7203,7334,3877,3957,4,0,0,0,0
kill60,idle,4,8192,95,246221,6372,7945,4227,4388,4,0,0,0,0
kill60,idle,4,8192,96,245440,6382,7143,3927,4017,4,0,0,0,0
kill60,idle,4,8192,97,245880,6693,6772,3997,4048,4,0,0,0,0
kill60,idle,4,8192,98,248475,6603,7624,3898,4018,4,0,0,0,0
kill60,idle,4,8192,99,245840,5680,6262,4097,4158,4,0,0,0,0
kill60,idle,32,8192,0,1317588,60884,95950,9838,14748,32,0,0,0,0
kill60,idle,32,8192,1,1299554,57598,84799,8636,13526,32,0,0,0,0
kill60,idle,32,8192,2,1316215,61946,88827,8676,12103,32,0,0,0,0
kill60,idle,32,8192,3,1323008,55534,76113,7484,34384,32,0,0,0,0
kill60,idle,32,8192,4,1312728,58189,85099,8426,22131,32,0,0,0,0
kill60,idle,32,8192,5,1315644,65763,92222,8425,23684,32,0,0,0,0
kill60,idle,32,8192,6,1303031,62156,93896,9357,35847,32,0,0,0,0
kill60,idle,32,8192,7,1430779,47178,69149,8416,11873,32,0,0,0,0
kill60,idle,32,8192,8,1431952,58730,88797,9107,15188,32,0,0,0,0
kill60,idle,32,8192,9,1365297,62397,87564,9268,13876,32,0,0,0,0
kill60,idle,32,8192,10,1461607,67626,84879,9427,18835,32,0,0,0,0
kill60,idle,32,8192,11,1355969,57418,80471,8876,12784,32,0,0,0,0
kill60,idle,32,8192,12,1540896,70752,94577,10069,31720,32,0,0,0,0
kill60,idle,32,8192,13,1690957,72576,133620,10931,15348,32,0,0,0,0
kill60,idle,32,8192,14,1462408,65252,91792,9818,12324,32,0,0,0,0
kill60,idle,32,8192,15,1435688,66224,94848,9728,12162,32,0,0,0,0
kill60,idle,32,8192,16,1421763,67276,95308,9477,20499,32,0,0,0,0
kill60,idle,32,8192,17,1434937,60964,79990,9648,13014,32,0,0,0,0
kill60,idle,32,8192,18,1432793,65864,92463,9568,12483,32,0,0,0,0
kill60,idle,32,8192,19,1430459,66404,93895,10139,14337,32,0,0,0,0
kill60,idle,32,8192,20,1446369,78346,104425,9708,18795,32,0,0,0,0
kill60,idle,32,8192,21,1423375,64150,90129,9468,12112,32,0,0,0,0
kill60,idle,32,8192,22,1559571,66033,87554,9818,14037,32,0,0,0,0
kill60,idle,32,8192,23,1429397,73187,88877,9768,12574,32,0,0,0,0
kill60,idle,32,8192,24,1390734,63680,87684,9888,13896,32,0,0,0,0
kill60,idle,32,8192,25,1390554,60123,91371,9418,17673,32,0,0,0,0
kill60,idle,32,8192,26,1376057,65122,88746,8276,12754,32,0,0,0,0
kill60,idle,32,8192,27,1375686,65743,86352,9267,12383,32,0,0,0,0
kill60,idle,32,8192,28,1382509,70272,101089,9718,13545,32,0,0,0,0
kill60,idle,32,8192,29,1397286,61515,89187,9588,14728,32,0,0,0,0
kill60,idle,32,8192,30,1317026,62938,83517,9929,12062,32,0,0,0,0
kill60,idle,32,8192,31,1308030,68909,89558,9398,18144,32,0,0,0,0
kill60,idle,32,8192,32,1310434,62256,88757,9488,12663,32,0,0,0,0
kill60,idle,32,8192,33,1308180,63328,86051,9177,13345,32,0,0,0,0
kill60,idle,32,8192,34,1311947,66504,87173,9097,13696,32,0,0,0,0
kill60,idle,32,8192,35,1353415,81693,116648,10770,15699,32,0,0,0,0
kill60,idle,32,8192,36,1435067,70331,95589,9849,12764,32,0,0,0,0
kill60,idle,32,8192,37,1370997,68278,94777,9518,13776,32,0,0,0,0
kill60,idle,32,8192,38,1340550,66765,96441,9978,12804,32,0,0,0,0
kill60,idle,32,8192,39,1310975,63088,93334,9127,11822,32,0,0,0,0
kill60,idle,32,8192,40,1305465,65733,97062,9788,12573,32,0,0,0,0
kill60,idle,32,8192,41,1317187,64661,95418,9307,13876,32,0,0,0,0
kill60,idle,32,8192,42,1312859,60674,79559,8977,12212,32,0,0,0,0
kill60,idle,32,8192,43,1307860,65102,87223,9067,11381,32,0,0,0,0
kill60,idle,32,8192,44,1316185,63529,96762,9527,13375,32,0,0,0,0
kill60,idle,32,8192,45,1308120,61064,86872,9317,12313,32,0,0,0,0
kill60,idle,32,8192,46,1331544,74910,94988,9889,15298,32,0,0,0,0
kill60,idle,32,8192,47,1308240,66905,82254,9848,13044,32,0,0,0,0
kill60,idle,32,8192,48,1307558,62146,94998,9318,12994,32,0,0,0,0
kill60,idle,32,8192,49,1324961,64531,101340,9918,14718,32,0,0,0,0
kill60,idle,32,8192,50,1329690,62237,93304,9247,11571,32,0,0,0,0
kill60,idle,32,8192,51,1309302,64391,92513,8436,11282,32,0,0,0,0
kill60,idle,32,8192,52,1306025,71103,103624,9157,12724,32,0,0,0,0
kill60,idle,32,8192,53,1300085,59982,95859,8817,12103,32,0,0,0,0
kill60,idle,32,8192,54,1320453,62648,92783,8827,11802,32,0,0,0,0
kill60,idle,32,8192,55,1303602,64281,92193,8816,11432,32,0,0,0,0
kill60,idle,32,8192,56,1306457,64361,96080,9007,12353,32,0,0,0,0
kill60,idle,32,8192,57,1569579,65553,92934,9447,12764,32,0,0,0,0
kill60,idle,32,8192,58,1413347,59882,91041,9207,11802,32,0,0,0,0
kill60,idle,32,8192,59,1360177,60784,82654,8986,11973,32,0,0,0,0
kill60,idle,32,8192,60,1400403,65462,85971,9278,11502,32,0,0,0,0
kill60,idle,32,8192,61,1412945,70902,96491,9207,11441,32,0,0,0,0
kill60,idle,32,8192,62,1411013,58349,82905,9648,13004,32,0,0,0,0
kill60,idle,32,8192,63,1415571,61936,88125,9838,12583,32,0,0,0,0
kill60,idle,32,8192,64,1417665,62778,78156,9418,13225,32,0,0,0,0
kill60,idle,32,8192,65,1407446,64010,86913,9257,13145,32,0,0,0,0
kill60,idle,32,8192,66,1405362,64160,87864,9107,13576,32,0,0,0,0
kill60,idle,32,8192,67,1442702,63249,85150,8566,11732,32,0,0,0,0
kill60,idle,32,8192,68,1389793,70172,97002,9929,13605,32,0,0,0,0
kill60,idle,32,8192,69,1311787,68769,100559,8767,10810,32,0,0,0,0
kill60,idle,32,8192,70,1311786,66915,90350,8897,12113,32,0,0,0,0
kill60,idle,32,8192,71,1307078,59632,90480,8646,12053,32,0,0,0,0
kill60,idle,32,8192,72,1375656,66164,90339,9287,11592,32,0,0,0,0
kill60,idle,32,8192,73,1315213,72165,98344,9989,14256,32,0,0,0,0
kill60,idle,32,8192,74,1320272,63279,103334,8997,13295,32,0,0,0,0
kill60,idle,32,8192,75,1304042,65673,95659,9027,15509,32,0,0,0,0
kill60,idle,32,8192,76,1306426,74039,97773,8997,14236,32,0,0,0,0
kill60,idle,32,8192,77,1317708,61015,89959,9488,13646,32,0,0,0,0
kill60,idle,32,8192,78,1305495,62046,89377,8746,10940,32,0,0,0,0
kill60,idle,32,8192,79,1314212,65342,84258,9828,12483,32,0,0,0,0
kill60,idle,32,8192,80,1319641,61966,98544,8957,12784,32,0,0,0,0
kill60,idle,32,8192,81,1306526,56806,87805,8637,10440,32,0,0,0,0
kill60,idle,32,8192,82,1380796,64360,82845,9858,20038,32,0,0,0,0
kill60,idle,32,8192,83,1381297,64411,88585,10340,13185,32,0,0,0,0
kill60,idle,32,8192,84,1346021,62898,79740,9077,12193,32,0,0,0,0
kill60,idle,32,8192,85,1368683,72676,89458,9427,25367,32,0,0,0,0
kill60,idle,32,8192,86,1337414,75482,104716,9097,60714,32,0,0,0,0
kill60,idle,32,8192,87,1331664,75772,99205,9548,12814,32,0,0,0,0
kill60,idle,32,8192,88,1319772,67296,90028,9347,14417,32,0,0,0,0
kill60,idle,32,8192,89,1362422,61095,89507,9819,13255,32,0,0,0,0
kill60,idle,32,8192,90,2427416,71534,88004,10580,83035,32,0,0,0,0
kill60,idle,32,8192,91,1386968,77375,102663,10209,15309,32,0,0,0,0
kill60,idle,32,8192,92,1322707,70542,92564,9568,15168,32,0,0,0,0
kill60,idle,32,8192,93,1315934,64972,89187,8916,12784,32,0,0,0,0
kill60,idle,32,8192,94,1307289,74790,92764,9297,12543,32,0,0,0,0
kill60,idle,32,8192,95,1319361,63279,95078,9437,13275,32,0,0,0,0
kill60,idle,32,8192,96,1352223,63058,88296,9238,12744,32,0,0,0,0
kill60,idle,32,8192,97,1374204,73427,99697,9899,39965,32,0,0,0,0
kill60,idle,32,8192,98,1317277,72486,99306,9308,11923,32,0,0,0,0
kill60,idle,32,8192,99,1320724,72876,93205,9358,12723,32,0,0,0,0
kill60,idle,128,8192,0,5412998,87574,215884,46838,305382,128,0,0,0,0
kill60,idle,128,8192,1,5522141,100959,302797,14176,147296,128,0,0,0,0
kill60,idle,128,8192,2,5639842,108814,279934,45716,266318,128,0,0,0,0
kill60,idle,128,8192,3,5595749,117860,294682,85329,305132,128,0,0,0,0
kill60,idle,128,8192,4,5625916,112832,296135,42971,302256,128,0,0,0,0
kill60,idle,128,8192,5,5633700,182041,351468,11902,178725,128,0,0,0,0
kill60,idle,128,8192,6,5527241,122740,353522,42139,303629,128,0,0,0,0
kill60,idle,128,8192,7,5687451,227947,455813,13505,176551,128,0,0,0,0
kill60,idle,128,8192,8,5553370,140403,282008,15248,242785,128,0,0,0,0
kill60,idle,128,8192,9,5260301,114305,191228,13345,248355,128,0,0,0,0
kill60,idle,128,8192,10,5110290,155190,393938,11351,179657,128,0,0,0,0
kill60,idle,128,8192,11,5298302,128201,212678,23334,296065,128,0,0,0,0
kill60,idle,128,8192,12,6516153,124533,286476,14698,225212,128,0,0,0,0
kill60,idle,128,8192,13,5746311,120936,294211,16772,224220,128,0,0,0,0
kill60,idle,128,8192,14,7645157,134132,384180,51627,340077,128,0,0,0,0
kill60,idle,128,8192,15,5298813,123321,202189,13966,246501,128,0,0,0,0
kill60,idle,128,8192,16,5268105,139892,396562,11491,199023,128,0,0,0,0
kill60,idle,128,8192,17,5777991,127128,338454,27772,298660,128,0,0,0,0
kill60,idle,128,8192,18,7179275,129452,369502,12333,203511,128,0,0,0,0
kill60,idle,128,8192,19,5382450,109605,242955,12233,201678,128,0,0,0,0
kill60,idle,128,8192,20,5664798,123872,216255,22252,273793,128,0,0,0,0
kill60,idle,128,8192,21,5784011,122820,299451,15178,260368,128,0,0,0,0
kill60,idle,128,8192,22,5597522,192561,373630,13796,178905,128,0,0,0,0
kill60,idle,128,8192,23,5455868,121668,210585,26480,262862,128,0,0,0,0
kill60,idle,128,8192,24,5576092,129032,569977,15259,231714,128,0,0,0,0
kill60,idle,128,8192,25,5434868,134572,286466,15439,270957,128,0,0,0,0
kill60,idle,128,8192,26,5143572,130064,488505,14427,218439,128,0,0,0,0
kill60,idle,128,8192,27,5295927,206426,421950,11541,142377,128,0,0,0,0
kill60,idle,128,8192,28,5188236,121468,209583,18605,252162,128,0,0,0,0
kill60,idle,128,8192,29,5213974,124533,374461,17042,323747,128,0,0,0,0
kill60,idle,128,8192,30,5472178,129352,305202,12764,237194,128,0,0,0,0
kill60,idle,128,8192,31,5428166,130965,269895,15519,274474,128,0,0,0,0
kill60,idle,128,8192,32,6860368,125395,252473,15519,1173237,128,0,0,0,0
kill60,idle,128,8192,33,5406745,133550,253224,17793,286426,128,0,0,0,0
kill60,idle,128,8192,34,5934353,123902,466463,14177,267571,128,0,0,0,0
kill60,idle,128,8192,35,5365047,129042,431037,23294,331391,128,0,0,0,0
kill60,idle,128,8192,36,5470725,118211,235021,13264,291406,128,0,0,0,0
kill60,idle,128,8192,37,5474152,128972,288420,16271,263403,128,0,0,0,0
kill60,idle,128,8192,38,7348221,120546,212148,13656,277760,128,0,0,0,0
kill60,idle,128,8192,39,6127405,125916,341039,22172,210875,128,0,0,0,0
kill60,idle,128,8192,40,5785104,129632,282469,49793,250138,128,0,0,0,0
kill60,idle,128,8192,41,5880463,120236,272750,42009,317966,128,0,0,0,0
kill60,idle,128,8192,42,6791969,120215,268733,28283,249958,128,0,0,0,0
kill60,idle,128,8192,43,6767483,122680,303338,33362,270497,128,0,0,0,0
kill60,idle,128,8192,44,5733297,123221,265938,13635,282549,128,0,0,0,0
kill60,idle,128,8192,45,5523544,121067,374010,13074,184175,128,0,0,0,0
kill60,idle,128,8192,46,5418968,96961,196127,12273,196658,128,0,0,0,0
kill60,idle,128,8192,47,5426493,121568,306765,15058,281477,128,0,0,0,0
kill60,idle,128,8192,48,5467209,114916,335268,14868,279824,128,0,0,0,0
kill60,idle,128,8192,49,5379544,134903,328996,13275,218048,128,0,0,0,0
kill60,idle,128,8192,50,5380065,117320,309430,15519,242695,128,0,0,0,0
kill60,idle,128,8192,51,5440298,125575,342040,12864,227175,128,0,0,0,0
kill60,idle,128,8192,52,5460366,124644,260167,13966,279454,128,0,0,0,0
kill60,idle,128,8192,53,5419319,132809,354474,17012,208010,128,0,0,0,0
kill60,idle,128,8192,54,5347134,138419,408996,11722,153938,128,0,0,0,0
kill60,idle,128,8192,55,5651564,116909,262211,38552,228468,128,0,0,0,0
kill60,idle,128,8192,56,5411424,121978,324718,14708,211797,128,0,0,0,0
kill60,idle,128,8192,57,5344499,113302,510726,15950,250499,128,0,0,0,0
kill60,idle,128,8192,58,5879330,113403,272050,48782,252502,128,0,0,0,0
kill60,idle,128,8192,59,5416223,124503,313447,14567,274133,128,0,0,0,0
kill60,idle,128,8192,60,5376889,126287,272430,34565,231003,128,0,0,0,0
kill60,idle,128,8192,61,5388421,123391,379029,40596,205916,128,0,0,0,0
kill60,idle,128,8192,62,5399341,106820,405790,11652,163105,128,0,0,0,0
kill60,idle,128,8192,63,5492776,119153,223118,47910,304239,128,0,0,0,0
kill60,idle,128,8192,64,5389723,113743,269585,30096,387506,128,0,0,0,0
kill60,idle,128,8192,65,6671685,104225,191088,20909,1558368,128,0,0,0,0
kill60,idle,128,8192,66,5388852,93195,191719,11472,244387,128,0,0,0,0
kill60,idle,128,8192,67,5516270,118232,531445,12924,227406,128,0,0,0,0
kill60,idle,128,8192,68,5429608,104546,175850,11923,138520,128,0,0,0,0
kill60,idle,128,8192,69,5390224,100879,163386,10960,135704,128,0,0,0,0
kill60,idle,128,8192,70,5444216,93395,269976,11121,238286,128,0,0,0,0
kill60,idle,128,8192,71,5545245,111198,208570,14027,248416,128,0,0,0,0
kill60,idle,128,8192,72,6303395,90169,181359,10951,1017796,128,0,0,0,0
kill60,idle,128,8192,73,5458983,117760,217397,15048,254597,128,0,0,0,0
kill60,idle,128,8192,74,5305255,115766,305623,12674,251862,128,0,0,0,0
kill60,idle,128,8192,75,5444055,96030,259747,11542,161863,128,0,0,0,0
kill60,idle,128,8192,76,5417866,110857,411230,14096,329998,128,0,0,0,0
kill60,idle,128,8192,77,5637077,93556,200626,12103,295363,128,0,0,0,0
kill60,idle,128,8192,78,5581483,90840,226444,11111,174156,128,0,0,0,0
kill60,idle,128,8192,79,5901051,88626,167524,12454,138520,128,0,0,0,0
kill60,idle,128,8192,80,6450500,105497,287198,12904,383368,128,0,0,0,0
kill60,idle,128,8192,81,5574720,108453,219371,14217,293650,128,0,0,0,0
